epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6178,1.10603,3.55342,1.46263,0.03163,0.76556,0.07262,0.0436,1.08737,3.84605,1.55183,6.666e-05,6.666e-05,6.666e-05
2,69.9129,0.99177,3.4233,1.38737,0.06024,0.81556,0.14626,0.09926,1.08582,3.83757,1.51834,0.00014157,0.00014157,0.00014157
3,103.044,0.96626,3.2789,1.34551,0.03908,0.935,0.24257,0.13275,1.14539,3.80697,1.62954,0.000213401,0.000213401,0.000213401
4,139.546,0.94447,3.24149,1.37292,0.02434,0.935,0.28504,0.15123,1.25559,3.83116,1.67174,0.000282152,0.000282152,0.000282152
5,171.365,0.98465,3.03143,1.36621,0.01511,0.91278,0.35715,0.20708,1.20531,3.75069,1.68275,0.000347823,0.000347823,0.000347823
6,204.965,1.00084,2.8005,1.35687,0.01182,0.95278,0.46769,0.28861,1.14041,3.67561,1.66753,0.000410415,0.000410415,0.000410415
7,238.677,1.01887,2.70231,1.38544,1,0.30356,0.49743,0.30849,1.11732,3.49181,1.83533,0.000469926,0.000469926,0.000469926
8,277.184,1.11252,2.55503,1.46591,1,0.13397,0.45719,0.27596,1.18267,3.46987,1.76254,0.000526358,0.000526358,0.000526358
9,312.562,1.08383,2.4276,1.47519,1,0.06227,0.41053,0.19773,1.61064,3.76255,1.91665,0.000579711,0.000579711,0.000579711
10,346.864,1.05339,2.27279,1.41901,1,0.0833,0.14437,0.07509,2.18962,4.3826,2.26452,0.000629984,0.000629984,0.000629984
11,381.202,1.0707,2.24938,1.44952,1,0.07218,0.12657,0.06219,2.61119,4.25207,2.65938,0.000677177,0.000677177,0.000677177
12,415.523,1.10782,2.16724,1.46281,0.70405,0.05,0.10058,0.04572,2.67081,4.35069,2.59472,0.00072129,0.00072129,0.00072129
13,449.787,1.01397,2.18279,1.37979,0.98677,0.05,0.09467,0.0485,2.47048,4.41729,2.45504,0.000762324,0.000762324,0.000762324
14,483.847,1.03727,2.02175,1.3637,0.29949,0.17218,0.25137,0.11911,1.83843,3.63044,2.2355,0.000800278,0.000800278,0.000800278
