epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0581,1.19634,3.29084,1.45426,0.00719,0.70008,0.01359,0.00466,2.32383,4.23695,2.88895,0.08812,0.00012,0.00012
2,69.6527,1.26147,3.01186,1.51618,0.00312,0.61944,0.02867,0.00705,2.26356,4.17768,2.99113,0.0752475,0.000247525,0.000247525
3,102.636,1.1944,2.8121,1.46904,0.00289,0.60833,0.04317,0.0153,1.93087,4.01518,2.52878,0.0623725,0.000372476,0.000372476
4,135.531,1.16313,2.8581,1.51523,0.00332,0.69056,0.07469,0.0249,1.72479,3.76801,2.40827,0.0494949,0.000494853,0.000494853
5,169.209,1.25498,2.70744,1.52001,0.01064,0.90921,0.32032,0.13999,1.38837,3.30471,2.0043,0.0366147,0.000614656,0.000614656
6,201.474,1.18684,2.52041,1.49647,0.30578,0.40984,0.28672,0.16214,1.46715,3.27522,1.88036,0.0237319,0.000731885,0.000731885
7,233.861,1.27792,2.45891,1.53906,0.34459,0.10202,0.27354,0.11306,1.65543,3.16019,2.04453,0.0108465,0.00084654,0.00084654
8,266.201,1.19218,2.42626,1.47341,0.47359,0.27367,0.34015,0.16268,1.57734,3.00384,1.99901,0.0009307,0.0009307,0.0009307
9,298.627,1.18439,2.5157,1.49217,0.59049,0.25944,0.37085,0.21508,1.56707,2.90036,1.91418,0.0009208,0.0009208,0.0009208
10,330.97,1.17561,2.29083,1.42253,0.59858,0.25944,0.33466,0.19498,1.66695,2.92982,1.97489,0.0009109,0.0009109,0.0009109
11,362.71,1.18588,2.27467,1.46442,0.61996,0.30944,0.34392,0.1763,1.78199,3.13688,2.24685,0.000901,0.000901,0.000901
12,394.381,1.13751,2.22095,1.42935,0.65027,0.35042,0.38174,0.21347,1.77417,3.21813,2.26043,0.0008911,0.0008911,0.0008911
13,425.065,1.05452,2.09199,1.39177,0.62781,0.35389,0.39155,0.22783,1.69783,3.1236,2.16453,0.0008812,0.0008812,0.0008812
14,456.028,1.2077,2.24714,1.45939,0.6921,0.3569,0.41109,0.22399,1.58342,2.80626,2.03399,0.0008713,0.0008713,0.0008713
15,486.926,1.10124,2.13622,1.41241,0.44191,0.28932,0.38354,0.21238,1.6968,2.60625,2.30151,0.0008614,0.0008614,0.0008614
16,517.774,1.0363,2.04295,1.36753,0.32661,0.46,0.45815,0.25031,1.53596,2.56721,2.10923,0.0008515,0.0008515,0.0008515
17,550.299,1.1051,2.0921,1.39502,0.32399,0.48238,0.48701,0.28391,1.66972,2.6015,2.30423,0.0008416,0.0008416,0.0008416
18,585.328,1.09062,2.0574,1.44189,0.46169,0.44863,0.49766,0.2657,1.75534,2.57766,2.32569,0.0008317,0.0008317,0.0008317
19,621.041,1.03301,1.99084,1.40331,0.61224,0.35667,0.49079,0.25486,1.76588,2.75713,2.23932,0.0008218,0.0008218,0.0008218
20,659.234,1.1124,2.04963,1.46864,0.49232,0.53746,0.56886,0.33393,1.55896,2.40771,2.06438,0.0008119,0.0008119,0.0008119
21,697.49,1.0145,1.90099,1.35502,0.57637,0.60011,0.66367,0.38692,1.4407,2.31167,1.9704,0.000802,0.000802,0.000802
