epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4755,1.12126,3.5105,1.45883,0.00806,0.93056,0.12845,0.07129,1.21407,3.88523,1.60411,6.666e-05,6.666e-05,6.666e-05
2,67.2947,0.97793,3.34588,1.40679,0.00587,0.90833,0.32717,0.19503,1.1262,3.82994,1.52204,0.00014157,0.00014157,0.00014157
3,97.7456,1.00979,3.01957,1.38706,0.00588,0.93056,0.36474,0.24223,1.15301,3.62895,1.63792,0.000213401,0.000213401,0.000213401
4,128.736,1.07474,2.83722,1.47924,1,0.15928,0.36383,0.20935,1.23933,3.47225,1.67206,0.000282152,0.000282152,0.000282152
5,159.254,1.02774,2.5728,1.38884,1,0.20171,0.48679,0.26838,1.37671,3.34666,1.6987,0.000347823,0.000347823,0.000347823
6,190.171,0.9588,2.33556,1.32692,0.75784,0.20436,0.51389,0.29581,1.33979,3.23464,1.67198,0.000410415,0.000410415,0.000410415
7,222.787,0.99361,2.11997,1.34109,0.3928,0.41614,0.53472,0.28287,1.44033,3.15155,1.99827,0.000469926,0.000469926,0.000469926
8,253.378,1.043,2.13094,1.3807,0.45896,0.58317,0.5559,0.33109,1.34275,2.9525,1.80079,0.000526358,0.000526358,0.000526358
9,283.906,1.0067,1.97763,1.38357,0.54183,0.56517,0.50526,0.2855,1.35763,3.1366,1.74797,0.000579711,0.000579711,0.000579711
10,316.234,1.02524,2.03931,1.36847,0.29337,0.59627,0.38228,0.20295,1.48332,4.33808,1.89353,0.000629984,0.000629984,0.000629984
11,348.004,1.05776,1.94216,1.41509,0.31635,0.41602,0.33183,0.16587,1.65895,4.52804,2.03409,0.000677177,0.000677177,0.000677177
12,386.58,1.05263,1.899,1.3353,0.45065,0.48873,0.46404,0.20774,1.69577,3.3344,2.00345,0.00072129,0.00072129,0.00072129
13,420.324,0.98302,1.94182,1.31247,0.29921,0.43873,0.38191,0.1982,1.80096,3.38922,2.14866,0.000762324,0.000762324,0.000762324
14,452.283,1.01925,1.68433,1.33611,0.43174,0.47824,0.44341,0.21792,1.78772,3.03733,2.18082,0.000800278,0.000800278,0.000800278
15,482.681,0.95185,1.62915,1.30606,0.67428,0.45197,0.55297,0.33956,1.43471,3.05613,1.90548,0.000803031,0.000803031,0.000803031
16,515.065,0.96383,1.6197,1.32381,0.64372,0.5347,0.58234,0.34699,1.52176,3.26572,2.11702,0.000781033,0.000781033,0.000781033
17,546.224,0.99248,1.72794,1.28512,0.47128,0.67458,0.62875,0.38237,1.51212,3.16163,2.07992,0.000759035,0.000759035,0.000759035
18,577.177,1.0001,1.66918,1.33017,0.45043,0.62119,0.58403,0.29123,1.51359,2.87901,1.90011,0.000737037,0.000737037,0.000737037
19,610.269,0.87962,1.54125,1.24338,0.76509,0.58873,0.62975,0.38716,1.36646,2.45441,1.82891,0.00071504,0.00071504,0.00071504
20,642.805,1.00569,1.57522,1.32025,0.56178,0.66445,0.6718,0.37343,1.44127,2.60423,1.91463,0.000693042,0.000693042,0.000693042
