epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8672,1.23709,3.61754,1.53745,0.45344,0.32,0.28757,0.19432,1.40404,4.98896,1.89162,6.666e-05,6.666e-05,6.666e-05
2,167.648,1.08735,2.7575,1.4782,0.6436,0.065,0.07628,0.05967,1.27934,6.08097,1.78434,0.000143,0.000143,0.000143
3,246.195,1.04277,2.15783,1.41259,0.74199,0.63381,0.63358,0.39451,1.2883,3.41523,1.79185,0.0002178,0.0002178,0.0002178
4,324.935,0.98157,2.11108,1.38369,0.68571,0.56787,0.63361,0.39206,1.34881,3.40693,1.84765,0.000291061,0.000291061,0.000291061
5,407.74,1.0462,1.8357,1.38175,0.68461,0.4913,0.60312,0.36815,1.38756,3.59945,1.83305,0.000362781,0.000362781,0.000362781
6,496.539,0.96523,1.55594,1.28047,0.68537,0.43699,0.53958,0.28781,1.58762,3.69128,2.21004,0.000432962,0.000432962,0.000432962
7,582.992,1.00587,1.52669,1.35093,0.61526,0.58317,0.6098,0.35668,1.5728,3.8402,2.32316,0.000501603,0.000501603,0.000501603
8,666.517,1.08781,1.63295,1.35305,0.46123,0.62247,0.4898,0.27987,1.64564,2.93301,2.27432,0.000568704,0.000568704,0.000568704
9,747.494,1.02779,1.54317,1.38237,0.26858,0.41381,0.34314,0.18679,1.65067,3.19626,2.15651,0.000634265,0.000634265,0.000634265
10,829.019,0.98689,1.43829,1.3276,0.65949,0.25726,0.3777,0.19484,1.91995,3.35503,2.5402,0.000698287,0.000698287,0.000698287
11,914.742,1.09004,1.45698,1.42497,0.6325,0.46373,0.48164,0.26353,1.83443,2.89636,2.35529,0.000760768,0.000760768,0.000760768
12,994.643,1.08644,1.40535,1.39793,0.38281,0.30922,0.26998,0.17946,1.80652,3.67165,2.29118,0.00082171,0.00082171,0.00082171
13,1078,1.10288,1.46216,1.42044,0.33445,0.40151,0.23826,0.12683,1.86963,4.22222,2.31177,0.000881112,0.000881112,0.000881112
14,1159.49,1.04652,1.4268,1.33241,0.44193,0.31444,0.27341,0.13963,1.9151,4.33506,2.66828,0.000938974,0.000938974,0.000938974
15,1239.06,0.98372,1.25901,1.33368,0.82462,0.47984,0.57919,0.30676,1.61726,3.07705,2.25124,0.000957015,0.000957015,0.000957015
16,1319.53,0.99405,1.19219,1.35298,0.87849,0.50273,0.6171,0.26898,1.76246,3.07715,2.18947,0.000946016,0.000946016,0.000946016
17,1400.19,1.0778,1.3815,1.35113,0.59404,0.56228,0.56394,0.293,1.74597,2.58092,2.08849,0.000935018,0.000935018,0.000935018
18,1482.97,1.05476,1.307,1.37621,0.52853,0.55008,0.45142,0.20619,1.8812,3.91567,2.42381,0.000924019,0.000924019,0.000924019
19,1565,0.98342,1.18804,1.34453,0.58544,0.55573,0.39316,0.16273,1.98213,3.39489,2.72506,0.00091302,0.00091302,0.00091302
